Chromosome,Start,Stop,MANE,Version
chr1,2508536,2526596,ENST00000378466,9
chr1,2528744,2530263,ENST00000378453,4
chr1,2556370,2563829,ENST00000355716,5
chr1,2586776,2591468,ENST00000419916,8
chr1,2590638,2633016,ENST00000378412,8
chr1,2636985,2801693,ENST00000401095,9
chr1,3021466,3022903,ENST00000378404,4
chr1,3069202,3438621,ENST00000270722,10
chr1,3454664,3481113,ENST00000378378,9
chr1,3487950,3611508,ENST00000356575,9
chr1,3625014,3630127,ENST00000378344,7
chr1,3630769,3650103,ENST00000270708,12
chr1,3652515,3736201,ENST00000378295,9
chr1,3752449,3771645,ENST00000294600,7
chr1,3772748,3775956,ENST00000642557,4
chr1,3778558,3796498,ENST00000378251,3
chr1,3812085,3857211,ENST00000378230,8
chr1,3857475,3885429,ENST00000378209,8
chr1,3889132,3900272,ENST00000361605,4
chr1,4654608,4792534,ENST00000378191,5
chr1,5862810,5992425,ENST00000378156,9
chr1,6045887,6101180,ENST00000378083,8
chr1,6101786,6180321,ENST00000262450,8
chr1,6185019,6199595,ENST00000234875,9
chr1,6206118,6221299,ENST00000377939,5
chr1,6221192,6235964,ENST00000343813,10
chr1,6244178,6245578,ENST00000377898,4
chr1,6247352,6261098,ENST00000377893,3
chr1,6264271,6393767,ENST00000361521,9
chr1,6415231,6419919,ENST00000377834,8
chr1,6424775,6460944,ENST00000645284,1
chr1,6460785,6466173,ENST00000356876,8
chr1,6467121,6491667,ENST00000377728,8
chr1,6521346,6554513,ENST00000377705,6
chr1,6555306,6579755,ENST00000333172,11
chr1,6579993,6589280,ENST00000377674,9
chr1,6590723,6602869,ENST00000377658,8
chr1,6613730,6624030,ENST00000377648,5
chr1,6624867,6633562,ENST00000054650,9
chr1,6634169,6701816,ENST00000377577,10
chr1,6785453,7769706,ENST00000303635,12
chr1,7771295,7781432,ENST00000054666,11
chr1,7784290,7845177,ENST00000377532,8
chr1,7847611,7853065,ENST00000361696,10
chr1,7915870,7940839,ENST00000377507,8
chr1,7961710,7985505,ENST00000338639,10
chr1,8011726,8026309,ENST00000377482,10
chr1,8318113,8344165,ENST00000471889,7
chr1,8352403,8817640,ENST00000400908,7
chr1,8860999,8878686,ENST00000234590,10
chr1,8945867,8975092,ENST00000377443,7
chr1,9002972,9026423,ENST00000400906,2
chr1,9035105,9069635,ENST00000377424,9
chr1,9100304,9129102,ENST00000377411,5
chr1,9234773,9271337,ENST00000377403,7
chr1,9292893,9369532,ENST00000328089,11
chr1,9539464,9585173,ENST00000302692,7
chr1,9588910,9614877,ENST00000340381,11
chr1,9651730,9729114,ENST00000377346,9
chr1,9728925,9823965,ENST00000377298,9
chr1,9848275,9910269,ENST00000377263,6
chr1,9926292,9943391,ENST00000377223,6
chr1,9943474,9985498,ENST00000377205,6
chr1,9997227,10016021,ENST00000294435,8
chr1,10032957,10181239,ENST00000343090,11
chr1,10210569,10381603,ENST00000676179,1
chr1,10399063,10420511,ENST00000270776,13
chr1,10430432,10442808,ENST00000309048,8
chr1,10450030,10451998,ENST00000377049,4
chr1,10456521,10472529,ENST00000377038,8
chr1,10474949,10630758,ENST00000356607,9
chr1,10636603,10796646,ENST00000377022,8
chr1,10946474,10982076,ENST00000377004,9
chr1,11012653,11025492,ENST00000240185,8
chr1,11026522,11047239,ENST00000400897,8
chr1,11054588,11060018,ENST00000376957,7
chr1,11066617,11099869,ENST00000376936,9
chr1,11106534,11262551,ENST00000361445,9
chr1,11189354,11195981,ENST00000376819,4
chr1,11273197,11288434,ENST00000376810,6
chr1,11479154,11537551,ENST00000294484,7
chr1,11648386,11654429,ENST00000354287,5
chr1,11654876,11663327,ENST00000251547,10
chr1,11664199,11674354,ENST00000376753,9
chr1,11674479,11681148,ENST00000376692,9
chr1,11691709,11725857,ENST00000294485,6
chr1,11736135,11750769,ENST00000314340,10
chr1,11762192,11789585,ENST00000688073,1
chr1,11785722,11805964,ENST00000376590,9
chr1,11806190,11843130,ENST00000346436,11
chr1,11845708,11847783,ENST00000376480,7
chr1,11857463,11858945,ENST00000376468,4
chr1,11919590,11926427,ENST00000376572,8
chr1,11934716,11975537,ENST00000196061,5
chr1,11980443,12013508,ENST00000235329,10
chr1,12019497,12032045,ENST00000235332,6
chr1,12063302,12144207,ENST00000263932,7
chr1,12166990,12209220,ENST00000376259,7
chr1,12230029,12512047,ENST00000620676,6
chr1,12567909,12618210,ENST00000616661,5
chr1,12644084,12667076,ENST00000376221,2
chr1,12716109,12728760,ENST00000359318,8
chr1,12746199,12763699,ENST00000614859,5
chr1,12773737,12777906,ENST00000357726,5
chr1,12791396,12796628,ENST00000332296,7
chr1,12824604,12831410,ENST00000619922,1
chr1,12847376,12848720,ENST00000317869,7
chr1,12857085,12861909,ENST00000240189,2
chr1,12879211,12886201,ENST00000235349,6
chr1,12892895,12898270,ENST00000235347,4
chr1,12916609,12920751,ENST00000697200,1
chr1,12938471,12947580,ENST00000376189,5
chr1,13049475,13056575,ENST00000436041,6
chr1,13060768,13062878,ENST00000617807,3
chr1,13070773,13077884,ENST00000619661,3
chr1,13115487,13116854,ENST00000621994,3
chr1,13148906,13156009,ENST00000624207,2
chr1,13163913,13165631,ENST00000323770,8
chr1,13171847,13179459,ENST00000415919,3
chr1,13196187,13201409,ENST00000625019,3
chr1,13222694,13226154,ENST00000624297,3
chr1,13254197,13263435,ENST00000622421,3
chr1,13281303,13285137,ENST00000357367,7
chr1,13303538,13308907,ENST00000437300,2
chr1,13315580,13322598,ENST00000376152,2
chr1,13341891,13347134,ENST00000334600,7
chr1,13368430,13371947,ENST00000376101,4
chr1,13389631,13392629,ENST00000376098,4
chr1,13410449,13421328,ENST00000602960,2
chr1,13474972,13514003,ENST00000376085,4
chr1,13583831,13617957,ENST00000621990,5
chr1,13700187,13825079,ENST00000311066,10
chr1,14598684,15118043,ENST00000376030,7
chr1,15153746,15220478,ENST00000376008,3
chr1,15247222,15398328,ENST00000688493,1
chr1,15409887,15430339,ENST00000375980,9
chr1,15438442,15449242,ENST00000375949,5
chr1,15456731,15472091,ENST00000359621,5
chr1,15476103,15491395,ENST00000375910,8
chr1,15491400,15524215,ENST00000333868,10
chr1,15526847,15571733,ENST00000375847,8
chr1,15571698,15585051,ENST00000375826,4
chr1,15617457,15669044,ENST00000480945,6
chr1,15659712,15662033,ENST00000345034,2
chr1,15684319,15734769,ENST00000375799,8
chr1,15736257,15741392,ENST00000294454,6
chr1,15742498,15747982,ENST00000375782,2
chr1,15758794,15786589,ENST00000375766,8
chr1,15807373,15807649,ENST00000696689,1
chr1,15847706,15940456,ENST00000375759,8
chr1,15941868,15976101,ENST00000375743,9
chr1,16004235,16008807,ENST00000329454,2
chr1,16014028,16018043,ENST00000311890,14
chr1,16022035,16034050,ENST00000331433,5
chr1,16043781,16057308,ENST00000375679,9
chr1,16057768,16073651,ENST00000375662,5
chr1,16124336,16156069,ENST00000358432,8
chr1,16197853,16212652,ENST00000270747,8
chr1,16231691,16237183,ENST00000375599,8
chr1,16246839,16352480,ENST00000375592,8
chr1,16367241,16398145,ENST00000401088,9
chr1,16398642,16437424,ENST00000335496,5
chr1,16440723,16460078,ENST00000337132,10
chr1,16921930,16972964,ENST00000375541,10
chr1,16974501,16980620,ENST00000375535,4
chr1,16985957,17011928,ENST00000326735,13
chr1,17018721,17054032,ENST00000375499,8
chr1,17066760,17119451,ENST00000375486,9
chr1,17205127,17246007,ENST00000375471,5
chr1,17249097,17284233,ENST00000375460,3
chr1,17308196,17364004,ENST00000375448,4
chr1,17372195,17401699,ENST00000619609,1
chr1,17406759,17439677,ENST00000375436,9
chr1,17539697,17697869,ENST00000361221,8
chr1,17755332,17827063,ENST00000375406,2
chr1,18107797,18378483,ENST00000251296,4
chr1,18480929,18485974,ENST00000400664,3
chr1,18630845,18748866,ENST00000420770,7
chr1,18839598,18859660,ENST00000375371,4
chr1,18871429,18902555,ENST00000375341,8
chr1,18904279,18956676,ENST00000455833,7
chr1,19074509,19210266,ENST00000375254,8
chr1,19215659,19251524,ENST00000477853,6
chr1,19251804,19260128,ENST00000330263,5
chr1,19282572,19288770,ENST00000361640,5
chr1,19303964,19312144,ENST00000235835,8
chr1,19312325,19329300,ENST00000375153,8
chr1,19338774,19485539,ENST00000264202,8
chr1,19596978,19629820,ENST00000322753,7
chr1,19644310,19658452,ENST00000375136,8
chr1,19664874,19680966,ENST00000289753,2
chr1,19682239,19799916,ENST00000294543,11
chr1,19814028,19815283,ENST00000375121,4
chr1,19882394,19912945,ENST00000375120,4
chr1,19920008,19923617,ENST00000375116,3
chr1,19975434,19979618,ENST00000482011,3
chr1,20070193,20091911,ENST00000375108,4
chr1,20111938,20119536,ENST00000375105,8
chr1,20139322,20150381,ENST00000375102,4
chr1,20163054,20186518,ENST00000679259,1
chr1,20186095,20196050,ENST00000375099,4
chr1,20290874,20359518,ENST00000289815,13
chr1,20482390,20486210,ENST00000375078,4
chr1,20499447,20508151,ENST00000264198,5
chr1,20552572,20555020,ENST00000332947,6
chr1,20589096,20618903,ENST00000375071,4
chr1,20633457,20651511,ENST00000321556,5
chr1,20651776,20661369,ENST00000602624,7
chr1,20664013,20718007,ENST00000400463,8
chr1,20719730,20732703,ENST00000444387,7
chr1,20740265,20787307,ENST00000438032,6
chr1,20806478,21176897,ENST00000602326,6
chr1,21217249,21290463,ENST00000374893,11
chr1,21440136,21484900,ENST00000318249,10
chr1,21509422,21578410,ENST00000374840,8
chr1,21596220,21669357,ENST00000374765,9
chr1,21678297,21783149,ENST00000308271,14
chr1,21812264,21825225,ENST00000344642,7
chr1,21822243,21937310,ENST00000374695,8
chr1,21977021,21989354,ENST00000337107,11
chr1,22001656,22012542,ENST00000290122,8
chr1,22052708,22101360,ENST00000656825,1
chr1,22117312,22143097,ENST00000290167,11
chr1,22451850,22531154,ENST00000375647,5
chr1,22563488,22603595,ENST00000166244,8
chr1,22636627,22639678,ENST00000374642,8
chr1,22643632,22648108,ENST00000374640,9
chr1,22653235,22661637,ENST00000509305,6
chr1,22710838,22921500,ENST00000374630,8
chr1,22953042,22972866,ENST00000426928,7
chr1,23010833,23015852,ENST00000566855,4
chr1,23019467,23083689,ENST00000400181,9
chr1,23084029,23168856,ENST00000302291,9
chr1,23191894,23217502,ENST00000374619,2
chr1,23304687,23344284,ENST00000302271,11
chr1,23359447,23369836,ENST00000314011,9
chr1,23380908,23424748,ENST00000450454,7
chr1,23428562,23484179,ENST00000336689,8
chr1,23506437,23531233,ENST00000361729,3
chr1,23557925,23559501,ENST00000374561,6
chr1,23691805,23696835,ENST00000643754,2
chr1,23743470,23762059,ENST00000613537,5
chr1,23778417,23788232,ENST00000246151,9
chr1,23791144,23795539,ENST00000374514,8
chr1,23795598,23800754,ENST00000617979,5
chr1,23801884,23825429,ENST00000374490,8
chr1,23845076,23868290,ENST00000374479,4
chr1,23870514,23913362,ENST00000374472,5
chr1,23959827,23963462,ENST00000334351,8
chr1,23964346,23980327,ENST00000492112,3
chr1,24056040,24112135,ENST00000374434,4
chr1,24119770,24143140,ENST00000270800,2
chr1,24154167,24187289,ENST00000327535,6
chr1,24319356,24355318,ENST00000361548,9
chr1,24356998,24413782,ENST00000337248,9
chr1,24415801,24472976,ENST00000374399,9
chr1,24502835,24541040,ENST00000374395,9
chr1,24556086,24609328,ENST00000374392,3
chr1,24643301,24673281,ENST00000323848,14
chr1,24745446,24844321,ENST00000374379,9
chr1,24899510,24930276,ENST00000308873,11
chr1,25222275,25232502,ENST00000236273,9
chr1,25242248,25247454,ENST00000243189,12
chr1,25272508,25330445,ENST00000328664,9
chr1,25338333,25362361,ENST00000374358,5
chr1,25362248,25420825,ENST00000294413,13
chr1,25430896,25500209,ENST00000374343,5
chr1,25543605,25568886,ENST00000374338,5
chr1,25616790,25784450,ENST00000374332,9
chr1,25800192,25818221,ENST00000361547,7
chr1,25819953,25832938,ENST00000374303,7
chr1,25834005,25859457,ENST00000374298,4
chr1,25861483,25875708,ENST00000675840,1
chr1,25900115,25906419,ENST00000455785,7
chr1,25959766,25998063,ENST00000374282,8
chr1,26021774,26036464,ENST00000374280,4
chr1,26037251,26046118,ENST00000374276,4
chr1,26051300,26067630,ENST00000374272,4
chr1,26111823,26125555,ENST00000374269,2
chr1,26159078,26163962,ENST00000374268,5
chr1,26164100,26168963,ENST00000634842,2
chr1,26169520,26171832,ENST00000433939,7
chr1,26169907,26170873,ENST00000374266,7
chr1,26177490,26189884,ENST00000361530,11
chr1,26190601,26202964,ENST00000456354,7
chr1,26234199,26278808,ENST00000451429,8
chr1,26280085,26281522,ENST00000270792,10
chr1,26282281,26306636,ENST00000374222,6
chr1,26317957,26320523,ENST00000374213,3
chr1,26321864,26354130,ENST00000308182,10
chr1,26361633,26372750,ENST00000349618,8
chr1,26410816,26429728,ENST00000326279,11
chr1,26432320,26471306,ENST00000236342,12
chr1,26472439,26476642,ENST00000361427,6
chr1,26529760,26575025,ENST00000374168,7
chr1,26696014,26782104,ENST00000324856,13
chr1,26787949,26800659,ENST00000674202,1
chr1,26826687,26857604,ENST00000374142,9
chr1,26863148,26864456,ENST00000339276,6
chr1,26876131,26890283,ENST00000374135,9
chr1,26890487,26900467,ENST00000361720,10
chr1,26911488,26913975,ENST00000254227,4
chr1,26921742,26946871,ENST00000321265,10
chr1,26949561,26960468,ENST00000320567,6
chr1,26993691,27000886,ENST00000522111,3
chr1,27005019,27012850,ENST00000289166,6
chr1,27098808,27155125,ENST00000263980,8
chr1,27234631,27308636,ENST00000319394,8
chr1,27322162,27336400,ENST00000374076,9
chr1,27342021,27353932,ENST00000616558,5
chr1,27355183,27366961,ENST00000357582,3
chr1,27369109,27374824,ENST00000270879,9
chr1,27379175,27383333,ENST00000374030,3
chr1,27392621,27395814,ENST00000374024,4
chr1,27404229,27490167,ENST00000618852,5
chr1,27534244,27604144,ENST00000673934,1
chr1,27612063,27635185,ENST00000374005,8
chr1,27666063,27672192,ENST00000361157,11
chr1,27725960,27763116,ENST00000373954,11
chr1,27773218,27824443,ENST00000373943,9
chr1,27830781,27851676,ENST00000311772,10
chr1,27872543,27886675,ENST00000373921,8
chr1,27891523,27914575,ENST00000373912,8
chr1,27934999,27959152,ENST00000373894,8
chr1,27959972,27968093,ENST00000373884,6
chr1,27970343,28088610,ENST00000373871,8
chr1,28147165,28176690,ENST00000373857,8
chr1,28200277,28233029,ENST00000263697,6
chr1,28236123,28238100,ENST00000335514,10
chr1,28259517,28282491,ENST00000253063,4
chr1,28329039,28335965,ENST00000373842,9
chr1,28369739,28500364,ENST00000373839,8
chr1,28506042,28538989,ENST00000683442,1
chr1,28553084,28578545,ENST00000373830,4
chr1,28592264,28595449,ENST00000465518,3
chr1,28602849,28643067,ENST00000373824,9
chr1,28668783,28719353,ENST00000373816,6
chr1,28736939,28769775,ENST00000373812,8
chr1,28812169,28871267,ENST00000234961,7
chr1,28914568,29120041,ENST00000343067,9
chr1,29119428,29123903,ENST00000521452,2
chr1,29147742,29181900,ENST00000373795,7
chr1,29192656,29230934,ENST00000263702,11
chr1,29236521,29326800,ENST00000373779,8
chr1,30711276,30723585,ENST00000373765,5
chr1,30732468,30757774,ENST00000294507,4
chr1,30869465,30908758,ENST00000339394,7
chr1,30931505,31065717,ENST00000426105,7
chr1,31179744,31239887,ENST00000373736,7
chr1,31259567,31296788,ENST00000263694,9
chr1,31297031,31364936,ENST00000344147,10
chr1,31365252,31373076,ENST00000373713,7
chr1,31413212,31434678,ENST00000373709,8
chr1,31576514,31587686,ENST00000271064,12
chr1,31617688,31627613,ENST00000403528,7
chr1,31629865,31644876,ENST00000373703,5
chr1,31652262,31704017,ENST00000373672,8
chr1,31727116,31764340,ENST00000373658,8
chr1,31790421,31816022,ENST00000360482,7
chr1,31906420,31938368,ENST00000647444,2
chr1,31919562,31919628,ENST00000679970,1
chr1,32013867,32043877,ENST00000327300,12
chr1,32072938,32102863,ENST00000336294,10
chr1,32108055,32176563,ENST00000373625,8
chr1,32179674,32198285,ENST00000373610,8
chr1,32200594,32205387,ENST00000373602,10
chr1,32205670,32208682,ENST00000291358,11
chr1,32209088,32216192,ENST00000409358,2
chr1,32216199,32222353,ENST00000309777,11
chr1,32222406,32231604,ENST00000677711,2
chr1,32247221,32248856,ENST00000373582,4
chr1,32251264,32286165,ENST00000336890,10
chr1,32292082,32333626,ENST00000373548,8
chr1,32333838,32336233,ENST00000329421,8
chr1,32361269,32362485,ENST00000432622,2
chr1,32362538,32364312,ENST00000373534,4
chr1,32364632,32394441,ENST00000455895,7
chr1,32465071,32496686,ENST00000609129,2
chr1,32539426,32605941,ENST00000373510,9
chr1,32620819,32650550,ENST00000468695,6
chr1,32651207,32686211,ENST00000373493,10
chr1,32679905,32702770,ENST00000409190,8
chr1,32741829,32774970,ENST00000401073,7
chr1,32775238,32817358,ENST00000373477,9
chr1,32817652,32858875,ENST00000373475,10
chr1,32862267,32870912,ENST00000373471,9
chr1,32886490,32894646,ENST00000373467,4
chr1,32894594,32901389,ENST00000373463,8
chr1,32936448,32964809,ENST00000235150,5
chr1,33007985,33036883,ENST00000672715,1
chr1,33081152,33123492,ENST00000294517,11
chr1,33145398,33182043,ENST00000291416,10
chr1,33256491,33300719,ENST00000539719,6
chr1,33306765,33321098,ENST00000442999,3
chr1,33323625,33431095,ENST00000683057,1
chr1,33472644,33501643,ENST00000684572,1
chr1,33513997,34165230,ENST00000373381,9
chr1,33864078,33864791,ENST00000681531,1
chr1,34176906,34219131,ENST00000488417,2
chr1,34755046,34758512,ENST00000338513,1
chr1,34759739,34762327,ENST00000339480,3
chr1,34781213,34786364,ENST00000373366,3
chr1,34792998,34795747,ENST00000342280,5
chr1,34850361,34859749,ENST00000521580,3
chr1,34865435,34929650,ENST00000373347,6
chr1,34981379,34985347,ENST00000373337,4
chr1,34986164,35031945,ENST00000357182,9
chr1,35079384,35115859,ENST00000359858,9
chr1,35182935,35193145,ENST00000357214,6
chr1,35268708,35422058,ENST00000314607,11
chr1,35433491,35557403,ENST00000325722,8
chr1,35557798,35566779,ENST00000373243,7
chr1,35573313,35595328,ENST00000373235,4
chr1,35599540,35641526,ENST00000373237,4
chr1,35713876,35718884,ENST00000270815,5
chr1,35732111,35769978,ENST00000318121,8
chr1,35808015,35857890,ENST00000373210,4
chr1,35883208,35930532,ENST00000373204,6
chr1,35931104,36072500,ENST00000373191,9
chr1,36084093,36088275,ENST00000207457,8
chr1,36088891,36093932,ENST00000373178,5
chr1,36095238,36125222,ENST00000397799,2
chr1,36136571,36149486,ENST00000373166,8
chr1,36156159,36180849,ENST00000474796,2
chr1,36224442,36305357,ENST00000354618,10
chr1,36306367,36321347,ENST00000453908,8
chr1,36322029,36323645,ENST00000490466,2
chr1,36339627,36385924,ENST00000373132,4
chr1,36393435,36397908,ENST00000315732,3
chr1,36417905,36450451,ENST00000235532,9
chr1,36455717,36464384,ENST00000373116,6
chr1,36466042,36482913,ENST00000373106,6
chr1,36795526,37034515,ENST00000373091,8
chr1,37474579,37484377,ENST00000373087,7
chr1,37489992,37514766,ENST00000296214,10
chr1,37534448,37554293,ENST00000296215,8
chr1,37556939,37566857,ENST00000652629,1
chr1,37566815,37595937,ENST00000373062,8
chr1,37611349,37634892,ENST00000356545,7
chr1,37681569,37690529,ENST00000486637,2
chr1,37692515,37709719,ENST00000373055,6
chr1,37715975,37765120,ENST00000373048,9
chr1,37793846,37801133,ENST00000373045,11
chr1,37802944,37808208,ENST00000373044,3
chr1,37807789,37809454,ENST00000373042,5
chr1,37809573,37859592,ENST00000373036,5
chr1,37860696,37947053,ENST00000373024,8
chr1,37956974,37990022,ENST00000373019,5
chr1,37996769,38005514,ENST00000373016,4
chr1,38012733,38024820,ENST00000373014,5
chr1,38043828,38046793,ENST00000373012,5
chr1,38838197,38859772,ENST00000373001,4
chr1,38862492,38873348,ENST00000397572,5
chr1,38874068,38881587,ENST00000357771,5
chr1,38885806,38941830,ENST00000372990,6
chr1,38991275,39006059,ENST00000432648,8
chr1,39026349,39034615,ENST00000372969,8
chr1,39204694,39487138,ENST00000564288,6
chr1,39491635,39529869,ENST00000331593,6
chr1,39560815,39576790,ENST00000372858,8
chr1,39623434,39639643,ENST00000372852,4
chr1,39651228,39672107,ENST00000235628,2
chr1,39678647,39691433,ENST00000372844,8
chr1,39738881,39756769,ENST00000324379,10
chr1,39757181,39788865,ENST00000372827,8
chr1,39769522,39771348,ENST00000327582,5
chr1,39838109,39883504,ENST00000316891,10
chr1,39895427,39901917,ENST00000372816,3
chr1,39955144,39969956,ENST00000372811,10
chr1,40040728,40072648,ENST00000372805,8
chr1,40072711,40097252,ENST00000642050,2
chr1,40161386,40240921,ENST00000372771,5
chr1,40247936,40251684,ENST00000372766,4
chr1,40258235,40294180,ENST00000372759,4
chr1,40300488,40317286,ENST00000372748,8
chr1,40373726,40423322,ENST00000372718,8
chr1,40450475,40463715,ENST00000361584,5
chr1,40477289,40496343,ENST00000372706,6
chr1,40508766,40516038,ENST00000415550,6
chr1,40531636,40548167,ENST00000372699,8
chr1,40620679,40665682,ENST00000372684,8
chr1,40691703,40771603,ENST00000447388,8
chr1,40783786,40840452,ENST00000347132,10
chr1,40861053,40862363,ENST00000372638,4
chr1,40979695,41012565,ENST00000650070,2
chr1,41015596,41021725,ENST00000302946,13
chr1,41027201,41242306,ENST00000695335,1
chr1,41478774,41484683,ENST00000372587,5
chr1,41506364,41918922,ENST00000372583,6
chr1,42153409,42155820,ENST00000372581,2
chr1,42162689,42164745,ENST00000357001,3
chr1,42176547,42335235,ENST00000361346,6
chr1,42380791,42424232,ENST00000431473,4
chr1,42430328,42456022,ENST00000372565,8
chr1,42456542,42461236,ENST00000372561,4
chr1,42463285,42657190,ENST00000657597,2
chr1,42658422,42676758,ENST00000304979,8
chr1,42682417,42703805,ENST00000321358,12
chr1,42733092,42740236,ENST00000296387,6
chr1,42746373,42767028,ENST00000296388,10
chr1,42767248,42779491,ENST00000372525,7
chr1,42784990,42800827,ENST00000637012,2
chr1,42807051,42817397,ENST00000372521,9
chr1,42817121,42844991,ENST00000372517,8
chr1,42846612,42852477,ENST00000651192,1
chr1,42925352,42958868,ENST00000426263,10
chr1,43147903,43156396,ENST00000335282,5
chr1,43164183,43172290,ENST00000236051,3
chr1,43172329,43254358,ENST00000372492,9
chr1,43269982,43274002,ENST00000439858,6
chr1,43281876,43285581,ENST00000523677,6
chr1,43300981,43323108,ENST00000372476,8
chr1,43337817,43354466,ENST00000372470,9
chr1,43358980,43363203,ENST00000310955,11
chr1,43363400,43368011,ENST00000372458,8
chr1,43383916,43389800,ENST00000372457,9
chr1,43389898,43454247,ENST00000634258,3
chr1,43450988,43453931,ENST00000372430,9
chr1,43530882,43623666,ENST00000359947,9
chr1,43650148,43705518,ENST00000372396,4
chr1,43707535,43931159,ENST00000347631,8
chr1,43933800,43937240,ENST00000372359,10
chr1,43946949,43968022,ENST00000372343,8
chr1,43970009,43973369,ENST00000255108,8
chr1,43974959,43978295,ENST00000472174,7
chr1,43979209,43991168,ENST00000372324,6
chr1,43991598,43996528,ENST00000372318,8
chr1,43996482,44031462,ENST00000372310,8
chr1,44118820,44135140,ENST00000372299,4
chr1,44137820,44141631,ENST00000634670,1
chr1,44213470,44220673,ENST00000372289,7
chr1,44221069,44355257,ENST00000372257,7
chr1,44405254,44651723,ENST00000361799,7
chr1,44653246,44674481,ENST00000372237,8
chr1,44674713,44725591,ENST00000535358,6
chr1,44739836,44767767,ENST00000372224,9
chr1,44775539,44778779,ENST00000396651,8
chr1,44783584,44788170,ENST00000372207,4
chr1,44800376,44805990,ENST00000372201,5
chr1,44805892,44807351,ENST00000339355,3
chr1,44808522,44815585,ENST00000450269,6
chr1,44821937,44843253,ENST00000372192,4
chr1,44850521,44986595,ENST00000360403,7
chr1,45002547,45011324,ENST00000372172,5
chr1,45012253,45015575,ENST00000246337,9
chr1,45016398,45206605,ENST00000359600,6
chr1,45326894,45328710,ENST00000334815,6
chr1,45329241,45339970,ENST00000456914,7
chr1,45329241,45340440,ENST00000710952,2
chr1,45340169,45343973,ENST00000372090,6
chr1,45343882,45491163,ENST00000372086,4
chr1,45493865,45500073,ENST00000629482,3
chr1,45500299,45513382,ENST00000401061,9
chr1,45511050,45521884,ENST00000319248,13
chr1,45550825,45570049,ENST00000351829,9
chr1,45584040,45618893,ENST00000350030,8
chr1,45620043,45624054,ENST00000528266,6
chr1,45627303,45686533,ENST00000355105,8
chr1,45688180,45694436,ENST00000372025,5
chr1,45698710,45750653,ENST00000396478,4
chr1,45803611,46036122,ENST00000361297,7
chr1,46040139,46132629,ENST00000262741,10
chr1,46175086,46185962,ENST00000372003,6
chr1,46175485,46176488,ENST00000506599,2
chr1,46188682,46198434,ENST00000371984,8
chr1,46203333,46221256,ENST00000371980,4
chr1,46247762,46278473,ENST00000371975,9
chr1,46277461,46303616,ENST00000617190,5
chr1,46303697,46316776,ENST00000311672,10
chr1,46340806,46365018,ENST00000474844,6
chr1,46394316,46413845,ENST00000243167,9
chr1,46489835,46516216,ENST00000360032,4
chr1,46532165,46535515,ENST00000697682,1
chr1,46545640,46551647,ENST00000481882,7
chr1,46557406,46604268,ENST00000371945,10
chr1,46607718,46616811,ENST00000319928,9
chr1,46632736,46668364,ENST00000574428,6
