chromosome	start	end	exon	Sample2
chr21	4518084	4518256	RCAN1_3-RCAN1_4-RCAN1_5	0
chr21	4521302	4521658	ENSG00000288711_3-RCAN1_2-RCAN1_3-RCAN1_4	0
chr21	4523537	4523710	ENSG00000288711_2-RCAN1_1-RCAN1_2-RCAN1_3	0
chr21	4525088	4525414	RCAN1_1-RCAN1_2	0
chr21	4526663	4526749	RCAN1_1	0
chr21	4613787	4613795	RCAN1_1	0
chr21	4614760	4615011	ENSG00000288711_1-RCAN1_1	0
chr21	4669389	4670762	CLIC6_1	0
chr21	4706027	4706080	CLIC6_2	0
chr21	4707280	4707389	CLIC6_2-CLIC6_3	0
chr21	4707944	4708069	CLIC6_3-CLIC6_4	0
chr21	4708700	4708806	CLIC6_4-CLIC6_5	0
chr21	4709357	4709538	CLIC6_5-CLIC6_6	0
chr21	4716321	4716482	CLIC6_6-CLIC6_7	0
chr21	4792135	4792610	RUNX1_5-RUNX1_6-RUNX1_8-RUNX1_9	0
chr21	4799301	4799462	RUNX1_4-RUNX1_5-RUNX1_7-RUNX1_8	0
chr21	4821668	4821696	RUNX1_5	0
chr21	4834410	4834601	RUNX1_4-RUNX1_6-RUNX1_7	0
chr21	4859474	4859578	RUNX1_3-RUNX1_5-RUNX1_6	0
chr21	4880557	4880713	RUNX1_2-RUNX1_4-RUNX1_5	0
chr21	4886843	4887112	RUNX1_1-RUNX1_3-RUNX1_4	0
chr21	4892925	4892963	RUNX1_2-RUNX1_3	0
chr21	5048842	5048899	RUNX1_1-RUNX1_2	0
chr21	6036117	6036251	SETD4_10-SETD4_11-SETD4_12	0
chr21	6038150	6038273	SETD4_10-SETD4_11-SETD4_9	0
chr21	6040575	6040655	SETD4_10-SETD4_8-SETD4_9	0
chr21	6041807	6041888	SETD4_7-SETD4_8-SETD4_9	0
chr21	6043759	6043956	SETD4_6-SETD4_7-SETD4_8	0
chr21	6045582	6046011	SETD4_5-SETD4_6-SETD4_7	0
chr21	6048308	6048396	SETD4_4-SETD4_5-SETD4_6	0
chr21	6053583	6053620	SETD4_3-SETD4_4-SETD4_5	0
chr21	6057109	6057204	SETD4_2-SETD4_3-SETD4_4	0
chr21	6058816	6058888	SETD4_1-SETD4_2	0
chr21	6070116	6070404	CBR1_1	0
chr21	6070950	6071197	CBR1_2	0
chr21	6071815	6071939	CBR1_3	0
chr21	6072174	6072882	CBR1_3	0
chr21	6135193	6135481	CBR3_1	0
chr21	6137825	6137932	CBR3_2	0
chr21	6146076	6146512	CBR3_3	0
chr21	6164734	6164871	DOP1B_2	111.8965517
chr21	6199070	6199251	DOP1B_3	133.4354839
chr21	6200331	6200501	DOP1B_4	97.63809524
chr21	6208715	6208904	DOP1B_5	121.2016129
chr21	6211553	6211651	DOP1B_6	104.1538462
chr21	6211974	6212097	DOP1B_7	112.3125
chr21	6214081	6214190	DOP1B_8	69.64705882
chr21	6214442	6214556	DOP1B_9	116.1449275
chr21	6219372	6219492	DOP1B_10	101.5890411
chr21	6223231	6223350	DOP1B_11	102.44
chr21	6225565	6225667	DOP1B_12	102.7777778
chr21	6227686	6227877	DOP1B_13	106.983871
chr21	6230450	6231134	DOP1B_14	121.7254464
chr21	6232804	6233075	DOP1B_15	0
chr21	6237262	6237414	DOP1B_16	115.1809524
chr21	6238601	6238701	DOP1B_17	97.6
chr21	6239765	6239955	DOP1B_18	117.9256198
chr21	6245048	6246677	DOP1B_19	118.038282
chr21	6247517	6247628	DOP1B_20	66.48333333
chr21	6248380	6248568	DOP1B_21	129.469697
chr21	6251162	6251284	DOP1B_22	117.1071429
chr21	6253772	6253909	DOP1B_23	116.3510638
chr21	6260677	6260732	DOP1B_24	83
chr21	6263546	6263650	DOP1B_25	99.48529412
chr21	6263748	6263814	DOP1B_26	123.0869565
chr21	6270013	6270157	DOP1B_27	133.9555556
chr21	6277021	6277100	DOP1B_28	94.02
chr21	6277975	6278084	DOP1B_29	114.6103896
chr21	6278209	6278355	DOP1B_30	101.2307692
chr21	6280285	6280346	DOP1B_31	137.4878049
chr21	6281483	6281611	DOP1B_32	106.556962
chr21	6288014	6288150	DOP1B_33	94.56756757
chr21	6288756	6288811	DOP1B_34	128.1081081
chr21	6289045	6289206	DOP1B_35	107.7216495
chr21	6292104	6292233	DOP1B_36	63.79032258
chr21	6293320	6293571	DOP1B_37	112.7631579
chr21	6320265	6320303	MORC3_1	0
chr21	6333646	6333718	MORC3_2	0
chr21	6336874	6337006	MORC3_3	0
chr21	6337732	6337946	MORC3_4	0
chr21	6338774	6338921	MORC3_5	0
chr21	6341399	6341546	MORC3_6	0
chr21	6344579	6344707	MORC3_7	0
chr21	6344912	6345031	MORC3_8	0
chr21	6349311	6349408	MORC3_9	0
chr21	6356620	6356724	MORC3_10	0
chr21	6359955	6360077	MORC3_11	0
chr21	6360184	6360258	MORC3_12	0
chr21	6362183	6362228	MORC3_13	0
chr21	6364093	6364259	MORC3_14	0
chr21	6368988	6369876	MORC3_15	0
chr21	6372374	6372531	MORC3_16	0
chr21	6375143	6375296	MORC3_17	0
chr21	6386137	6386262	CHAF1B_2	0
chr21	6387598	6387730	CHAF1B_3	0
chr21	6391551	6391668	CHAF1B_4	0
chr21	6394547	6394650	CHAF1B_5	0
chr21	6397415	6397511	CHAF1B_6	0
chr21	6399521	6399605	CHAF1B_7	0
chr21	6402758	6402851	CHAF1B_8	0
chr21	6408761	6408830	CHAF1B_9	0
chr21	6409374	6409465	CHAF1B_10	0
chr21	6411463	6411604	CHAF1B_11	0
chr21	6412884	6413315	CHAF1B_12	0
chr21	6415295	6415389	CHAF1B_13	0
chr21	6416275	6416366	CHAF1B_14	0
chr21	6460976	6461695	CLDN14_2-CLDN14_3	0
chr21	6699747	6699921	SIM2_1	0
chr21	6709168	6709250	SIM2_2	0
chr21	6712533	6712622	SIM2_3	0
chr21	6719821	6719929	SIM2_4	0
chr21	6723045	6723130	SIM2_5	0
chr21	6726119	6726318	SIM2_6	0
chr21	6731045	6731151	SIM2_7	0
chr21	6741717	6741864	SIM2_8	0
chr21	6743387	6743555	SIM2_9	0
chr21	6744728	6745136	SIM2_10	0
chr21	6747665	6748092	SIM2_11	0
chr21	6754246	6754417	HLCS_11-HLCS_12	0
chr21	6756542	6756755	HLCS_10-HLCS_11	0
chr21	6759727	6759841	HLCS_10-HLCS_9	0
chr21	6765012	6765172	HLCS_8-HLCS_9	0
chr21	6767218	6767285	HLCS_7-HLCS_8	0
chr21	6896860	6897131	HLCS_6-HLCS_7	0
chr21	6930251	6930433	HLCS_5-HLCS_6	0
chr21	6936449	6937392	HLCS_4-HLCS_5	0
chr21	6938832	6938994	HLCS_3-HLCS_4	0
chr21	6962036	6962170	HLCS_2	0
chr21	6966444	6966638	HLCS_1	0
chr21	7006773	7006876	RIPPLY3_1	0
chr21	7008157	7008223	RIPPLY3_2	0
